,Unique_ID,predictions
0,Candidate_1602,0.4804350078105927
1,Candidate_29650,0.3763871699571609
2,Candidate_31061,0.39115285873413086
3,Candidate_5768,0.16388923972845076
4,Candidate_27059,0.408532640337944
5,Candidate_20270,0.4542137682437897
6,Candidate_54043,0.8292482912540435
7,Candidate_54497,0.6857442855834961
8,Candidate_38167,0.15199626684188844
9,Candidate_11250,0.2028396174311638
10,Candidate_5419,0.5537675201892853
11,Candidate_6931,0.3470591366291046
12,Candidate_6916,0.3612095832824707
13,Candidate_3515,0.4241742521524429
14,Candidate_4625,0.1684264749288559
15,Candidate_35017,0.15048769414424895
16,Candidate_21332,0.31788124442100524
17,Candidate_19628,0.08844889849424362
18,Candidate_19067,0.1018279880285263
19,Candidate_47289,0.14523797929286958
20,Candidate_12172,0.3101269483566284
21,Candidate_43670,0.1440814822912216
22,Candidate_18953,0.1740423247218132
23,Candidate_3087,0.7920481860637665
24,Candidate_15947,0.6478689610958099
25,Candidate_32862,0.5678181648254395
26,Candidate_30241,0.24989258199930192
27,Candidate_36494,0.40785712003707886
28,Candidate_24637,0.11512409001588822
29,Candidate_12273,0.2796051174402237
30,Candidate_34576,0.33999556601047515
31,Candidate_31700,0.1819391891360283
32,Candidate_35018,0.19262224137783052
33,Candidate_37102,0.09165497571229934
34,Candidate_5355,0.47877692580223086
35,Candidate_22900,0.12441681697964668
36,Candidate_32577,0.6838335752487182
37,Candidate_6584,0.6164291501045227
38,Candidate_22497,0.396480119228363
39,Candidate_5119,0.28446041941642763
40,Candidate_19611,0.26541895866394044
41,Candidate_670,0.3389835685491562
42,Candidate_11319,0.46649334728717806
43,Candidate_2435,0.16419538259506225
44,Candidate_53281,0.1959146738052368
45,Candidate_28565,0.4459468811750412
46,Candidate_23217,0.10334306508302689
47,Candidate_18516,0.17101997286081314
48,Candidate_44789,0.47386358976364135
49,Candidate_14560,0.25976436734199526
50,Candidate_37433,0.10027028173208237
51,Candidate_2470,0.2010875090956688
52,Candidate_29135,0.7288253903388977
53,Candidate_19788,0.08819930255413055
54,Candidate_32753,0.4192814439535141
55,Candidate_17793,0.1770198315382004
56,Candidate_14051,0.2137578010559082
57,Candidate_20768,0.16900616884231567
58,Candidate_22967,0.34380041658878324
59,Candidate_5561,0.2950731575489044
60,Candidate_9123,0.5358286261558532
61,Candidate_20607,0.10328487828373908
62,Candidate_19549,0.11355259120464326
63,Candidate_40456,0.3838198661804199
64,Candidate_24292,0.184007029235363
65,Candidate_21670,0.19248391538858414
66,Candidate_41952,0.1869915619492531
67,Candidate_15451,0.09076740518212319
68,Candidate_10160,0.26984021961689
69,Candidate_53635,0.2450284406542778
70,Candidate_46594,0.17008249312639237
71,Candidate_38403,0.19188618957996367
72,Candidate_24940,0.28938913643360137
73,Candidate_15538,0.34853269159793854
74,Candidate_9811,0.3693080276250839
75,Candidate_42848,0.1612979903817177
76,Candidate_4887,0.17569149732589723
77,Candidate_29328,0.19075689613819122
78,Candidate_32148,0.2729640632867813
79,Candidate_27779,0.279023514688015
80,Candidate_38695,0.1989137724041939
81,Candidate_39837,0.10583973973989487
82,Candidate_11369,0.5644112765789032
83,Candidate_9668,0.6451236069202423
84,Candidate_5007,0.2623261034488678
85,Candidate_55017,0.47220417857170105
86,Candidate_40238,0.23223737627267838
87,Candidate_39737,0.09416477531194686
88,Candidate_41130,0.3309291362762451
89,Candidate_21346,0.09440849646925926
90,Candidate_52457,0.6510457634925843
91,Candidate_42035,0.18302495330572127
92,Candidate_4601,0.11723843216896057
93,Candidate_31460,0.09675010740756988
94,Candidate_31486,0.10450398325920104
95,Candidate_10022,0.2787779688835144
96,Candidate_46187,0.38435896039009093
97,Candidate_53903,0.26718306690454485
98,Candidate_36932,0.0975641742348671
99,Candidate_35501,0.12478251978754998
100,Candidate_16024,0.16892307698726655
101,Candidate_40915,0.09506986364722252
